"","Model","beta","focal","coef","AIC","likeli","RMSE"
"1","full","F","Aira.caryophylla",25,983.792432598299,-465.89621629915,1.16675432404251
"2","full","T","Aira.caryophylla",97,1060.16717490353,-432.083587451767,1.00904967538594
"3","number.indivs","F","Aira.caryophylla",2,974.742296529147,-484.371148264574,1.23209508607424
"4","number.indivs","T","Aira.caryophylla",3,976.252932329432,-484.126466164716,1.2330705580354
"5","native.exotic","F","Aira.caryophylla",3,968.794961886332,-480.397480943166,1.16911410415141
"6","native.exotic","T","Aira.caryophylla",6,972.211818844398,-479.105909422199,1.13927577222918
"7","grass.forb","F","Aira.caryophylla",3,968.562819982335,-480.281409991167,1.17559191022056
"8","grass.forb","T","Aira.caryophylla",6,971.563620859416,-478.781810429708,1.15194187258937
"9","functional","F","Aira.caryophylla",5,972.298178940919,-480.14908947046,1.17887960204255
"10","functional","T","Aira.caryophylla",13,978.649164821537,-475.324582410768,1.12695720467067
"11","families","F","Aira.caryophylla",12,982.598494224006,-478.299247112003,1.16998445394223
"12","families","T","Aira.caryophylla",42,1027.59159137142,-470.795795685712,1.13407311797576
"13","cluster.all","F","Aira.caryophylla",8,973.499431035151,-477.749715517576,1.18338517985791
"14","cluster.all","T","Aira.caryophylla",22,992.509978431166,-473.254989215583,1.12519130380484
"15","full","F","Hypochaeris.glabra",42,2235.98032842851,-1074.99016421426,1.00223152169047
"16","full","T","Hypochaeris.glabra",220,2420.25330092268,-989.12665046134,0.818162389241007
"17","number.indivs","F","Hypochaeris.glabra",3,2281.7085578225,-1136.85427891125,1.07416932282837
"18","number.indivs","T","Hypochaeris.glabra",4,2280.78449590405,-1135.39224795203,1.06859285723923
"19","native.exotic","F","Hypochaeris.glabra",4,2275.54677338834,-1132.77338669417,1.06897982625974
"20","native.exotic","T","Hypochaeris.glabra",7,2270.5481739757,-1127.27408698785,1.09578911369359
"21","grass.forb","F","Hypochaeris.glabra",4,2273.13276299519,-1131.5663814976,1.07109917742896
"22","grass.forb","T","Hypochaeris.glabra",7,2263.75652730675,-1123.87826365337,1.09913074036383
"23","functional","F","Hypochaeris.glabra",6,2265.06503199152,-1125.53251599576,1.0387850744897
"24","functional","T","Hypochaeris.glabra",16,2272.77955657998,-1119.38977828999,1.07890254730705
"25","families","F","Hypochaeris.glabra",19,2255.69174106843,-1107.84587053421,1.02992999147845
"26","families","T","Hypochaeris.glabra",69,2315.70724912737,-1087.85362456369,1.03264250696394
"27","cluster.all","F","Hypochaeris.glabra",9,2265.09588973817,-1122.54794486908,1.05058926008377
"28","cluster.all","T","Hypochaeris.glabra",33,2271.81070922472,-1101.90535461236,1.04798787989089
"29","full","F","Podotheca.gnaphalioides",21,861.228472264866,-408.614236132433,0.946612836258944
"30","full","T","Podotheca.gnaphalioides",64,876.237882883058,-373.118941441529,0.767586010808726
"31","number.indivs","F","Podotheca.gnaphalioides",2,851.382439976029,-422.691219988015,1.01866711847836
"32","number.indivs","T","Podotheca.gnaphalioides",3,851.862401550908,-421.931200775454,1.04361838705121
"33","native.exotic","F","Podotheca.gnaphalioides",3,852.824543231861,-422.412271615931,1.00571553391805
"34","native.exotic","T","Podotheca.gnaphalioides",6,852.469302418226,-419.234651209113,1.00221464213176
"35","grass.forb","F","Podotheca.gnaphalioides",3,853.01035595911,-422.505177979555,1.00975855883083
"36","grass.forb","T","Podotheca.gnaphalioides",6,852.114849296657,-419.057424648329,1.00738993622382
"37","functional","F","Podotheca.gnaphalioides",5,856.693994634352,-422.346997317176,1.00200061327394
"38","functional","T","Podotheca.gnaphalioides",11,855.394233920422,-415.697116960211,0.995138390076314
"39","families","F","Podotheca.gnaphalioides",11,862.481075954906,-419.240537977453,1.02761566897854
"40","families","T","Podotheca.gnaphalioides",30,877.557639123889,-407.778819561945,0.969041798935253
"41","cluster.all","F","Podotheca.gnaphalioides",8,856.873076436065,-419.436538218033,1.04569958342022
"42","cluster.all","T","Podotheca.gnaphalioides",21,869.604235097835,-412.802117548918,0.982210032983551
"43","full","F","Trachymene.ornata",30,1905.73895485543,-921.869477427714,1.02256316373036
"44","full","T","Trachymene.ornata",115,1950.38282928974,-859.191414644868,1.00601155521643
"45","number.indivs","F","Trachymene.ornata",3,1923.83507682438,-957.917538412192,1.0776607138976
"46","number.indivs","T","Trachymene.ornata",4,1924.86921652297,-957.434608261483,1.07561651732309
"47","native.exotic","F","Trachymene.ornata",4,1918.85105522242,-954.425527611209,1.07242390180025
"48","native.exotic","T","Trachymene.ornata",7,1922.26466452437,-953.132332262183,1.0737600767317
"49","grass.forb","F","Trachymene.ornata",4,1919.52520356473,-954.762601782363,1.06648872492944
