"","Model","beta","focal","coef","AIC","likeli","RMSE"
"1","full","F","O",170,9800.77667162553,-4729.38833581276,1.06360925304223
"2","full","T","O",694,10263.2504760605,-4436.62523803023,0.996678145809432
"3","number.indivs","F","O",16,9840.06140204554,-4903.03070102277,1.16122261369596
"4","number.indivs","T","O",22,9837.99253730426,-4895.99626865213,1.15966274440612
"5","native.exotic","F","O",22,9824.05794272652,-4889.02897136326,1.16171658135215
"6","native.exotic","T","O",40,9818.5675719619,-4868.28378598095,1.15157670573788
"7","grass.forb","F","O",22,9822.18975818174,-4888.09487909087,1.15646557887362
"8","grass.forb","T","O",40,9815.95796934063,-4866.97898467031,1.15738744877986
"9","functional","F","O",32,9821.03983911706,-4877.51991955853,1.15142952457862
"10","functional","T","O",76,9850.1858414595,-4848.09292072975,1.13862485232784
"11","families","F","O",78,9820.4985211232,-4831.2492605616,1.11683216565251
"12","families","T","O",253,10018.6659236324,-4755.33296181622,1.10563640897649
"13","cluster.all","F","O",50,9823.05404904718,-4860.52702452359,1.14488569681746
"14","cluster.all","T","O",155,9888.73586873247,-4788.36793436623,1.10618083424879
