"","Model","beta","focal","coef","AIC","likeli","RMSE"
"1","full","F","CETE",14,1417.92730376542,-693.96365188271,1.01954248081136
"2","full","T","CETE",50,1445.75052780604,-671.875263903022,0.956788056088142
"3","number.indivs","F","CETE",2,1403.48412807016,-698.742064035082,1.09809914200724
"4","number.indivs","T","CETE",3,1405.36707000709,-698.683535003544,1.10091017128385
"5","native.exotic","F","CETE",3,1405.48412807014,-698.742064035071,1.09809919779372
"6","native.exotic","T","CETE",4,1407.3670700071,-698.683535003552,1.10091023997978
"7","grass.forb","F","CETE",3,1405.20391458737,-698.601957293683,1.09143757902074
"8","grass.forb","T","CETE",6,1407.58934206234,-696.79467103117,1.06477437536685
"9","functional","F","CETE",3,1405.20391458735,-698.601957293674,1.09143757902075
"10","functional","T","CETE",6,1407.58934206233,-696.794671031166,1.06477437536685
"11","families","F","CETE",8,1412.63338438002,-697.31669219001,1.08011940623503
"12","families","T","CETE",24,1422.14414162742,-686.072070813711,0.955365007276093
"13","cluster.all","F","CETE",3,1405.20391458735,-698.601957293674,1.09143757902075
"14","cluster.all","T","CETE",6,1407.58934206233,-696.794671031166,1.06477437536685
"15","full","F","CHFU",14,1453.4540960564,-711.727048028201,1.06899847493161
"16","full","T","CHFU",48,1500.43494074234,-701.217470371168,1.08980035313075
"17","number.indivs","F","CHFU",2,1444.97162915936,-719.485814579681,1.0585607455435
"18","number.indivs","T","CHFU",3,1442.59095294518,-717.295476472592,1.0859481630029
"19","native.exotic","F","CHFU",3,1446.97162915936,-719.485814579678,1.05856076702161
"20","native.exotic","T","CHFU",4,1444.59095294519,-717.295476472596,1.08594819100501
"21","grass.forb","F","CHFU",3,1445.71036218308,-718.855181091542,1.06746703350015
"22","grass.forb","T","CHFU",6,1445.54113596878,-715.77056798439,1.10294345201388
"23","functional","F","CHFU",3,1445.7103621831,-718.855181091552,1.06746703350016
"24","functional","T","CHFU",6,1445.54113596878,-715.770567984389,1.10294345201388
"25","families","F","CHFU",9,1444.79142064787,-712.395710323937,1.06909351128213
"26","families","T","CHFU",24,1461.00165952296,-705.500829761481,1.09235271210465
"27","cluster.all","F","CHFU",3,1445.7103621831,-718.855181091552,1.06746703350016
"28","cluster.all","T","CHFU",6,1445.54113596878,-715.770567984389,1.10294345201388
"29","full","F","CHMI",12,393.391556514113,-183.695778257056,1.21466404255841
"30","full","T","CHMI",35,418.615638708669,-173.307819354334,1.10587015898566
"31","number.indivs","F","CHMI",2,389.014485565246,-191.507242782623,1.06079825437285
"32","number.indivs","T","CHMI",3,391.013667177567,-191.506833588784,1.06155040632726
"33","native.exotic","F","CHMI",3,391.01448556525,-191.507242782625,1.06079836802943
"34","native.exotic","T","CHMI",4,393.01366717759,-191.506833588795,1.0615503814645
"35","grass.forb","F","CHMI",3,389.1191991309,-190.55959956545,1.1153272490656
"36","grass.forb","T","CHMI",6,392.708021772269,-189.354010886135,1.11431006721782
"37","functional","F","CHMI",3,389.119199130898,-190.559599565449,1.1153272490656
"38","functional","T","CHMI",6,392.708021772269,-189.354010886135,1.11431006721782
"39","families","F","CHMI",7,395.601720149433,-189.800860074716,1.1363135141141
"40","families","T","CHMI",14,407.99751012809,-188.998755064045,1.12375442716583
"41","cluster.all","F","CHMI",3,389.119199130898,-190.559599565449,1.1153272490656
"42","cluster.all","T","CHMI",6,392.708021772269,-189.354010886135,1.11431006721782
"43","full","F","HOMA",15,1543.27040838928,-755.635204194642,1.1767507310899
"44","full","T","HOMA",65,1574.11634651063,-721.058173255314,1.12975305884344
"45","number.indivs","F","HOMA",2,1542.32458016784,-768.162290083922,1.19769998465914
"46","number.indivs","T","HOMA",3,1544.22355613809,-768.111778069047,1.19490850585502
"47","native.exotic","F","HOMA",3,1544.32458016789,-768.162290083944,1.19769999425683
"48","native.exotic","T","HOMA",4,1546.22355613713,-768.111778068564,1.19490852322589
"49","grass.forb","F","HOMA",3,1544.16258657356,-768.081293286781,1.19908541053449
"50","grass.forb","T","HOMA",6,1546.08782783759,-766.043913918793,1.18944814906889
"51","functional","F","HOMA",3,1544.16258657356,-768.081293286782,1.19908541053452
"52","functional","T","HOMA",6,1546.08782783759,-766.043913918793,1.18944814906886
"53","families","F","HOMA",10,1554.00169865713,-766.000849328563,1.19888700104249
"54","families","T","HOMA",32,1568.60938094124,-751.304690470619,1.17939978852401
"55","cluster.all","F","HOMA",3,1544.16258657356,-768.081293286782,1.19908541053452
"56","cluster.all","T","HOMA",6,1546.08782783759,-766.043913918793,1.18944814906886
"57","full","F","LEMA",16,2171.86384219602,-1068.93192109801,1.03032502205687
"58","full","T","LEMA",72,2222.11142253819,-1038.05571126909,1.04741505406784
"59","number.indivs","F","LEMA",2,2178.05830097292,-1086.02915048646,1.02673672059718
"60","number.indivs","T","LEMA",3,2179.02580786402,-1085.51290393201,1.02553598322553
"61","native.exotic","F","LEMA",3,2180.05830097293,-1086.02915048646,1.02673672734815
"62","native.exotic","T","LEMA",4,2181.02580786403,-1085.51290393201,1.02553598961069
"63","grass.forb","F","LEMA",3,2179.72711380108,-1085.86355690054,1.02273948578918
