"","Model","beta","focal","coef","AIC","likeli","RMSE"
"1","full","F","O",145,17068.7514125763,-8388.37570628815,1.40734981851515
"2","full","T","O",527,16996.5074927264,-7970.25374636318,1.16064065799941
"3","number.indivs","F","O",25,17165.9546576573,-8556.97732882865,1.39367451995254
"4","number.indivs","T","O",37,16723.8319217057,-8323.91596085287,1.19330101334586
"5","native.exotic","F","O",25,17165.9546576573,-8556.97732882865,1.39367451995254
"6","native.exotic","T","O",37,16723.8319217057,-8323.91596085287,1.19330101334586
"7","grass.forb","F","O",37,17155.1283536739,-8539.56417683693,1.39625615854468
"8","grass.forb","T","O",73,16692.4027747871,-8272.20138739355,1.16718140364209
"9","functional","F","O",37,17155.1283536739,-8539.56417683693,1.39625615854467
"10","functional","T","O",73,16692.4027747871,-8272.20138739354,1.16718140364209
"11","families","F","O",90,17121.8690345561,-8469.93451727806,1.3753274660935
"12","families","T","O",269,16754.2394973643,-8107.11974868213,1.14687732444433
"13","cluster.all","F","O",37,17155.1283536739,-8539.56417683693,1.39625615854467
"14","cluster.all","T","O",73,16692.4027747871,-8272.20138739354,1.16718140364209
