"Model","beta","focal","coef","AIC","train.RMSE","predict.RMSE","BIC","fold","likeli"
"Spain","F","CETE",9,1130.63419528168,1.03125561515604,0.998940085847596,1154.5786868284,1,-555.317097640838
"Spain","T","CETE",36,1145.07846939828,0.946785332754972,0.87857655115371,1233.67308812116,1,-535.53923469914
"Spain","F","CETE",9,1176.1255881143,1.03845472999246,1.36463528742625,1200.43375610274,2,-578.062794057152
"Spain","T","CETE",35,1185.64450209283,0.970441906650768,6.58430149036267,1273.15390685119,2,-556.822251046416
"Spain","F","CETE",9,1126.99956795785,1.01737878316156,0.74794441905301,1150.81983430459,3,-553.499783978926
"Spain","T","CETE",33,1136.59584044444,0.96880264237786,1.18573540716261,1217.58474602335,3,-534.297920222219
"Spain","F","CETE",9,1096.73500736718,1.04528011086973,0.779074046226075,1120.30209563408,4,-538.367503683591
"Spain","T","CETE",35,1108.09172133544,0.948514303830339,0.832777684465274,1192.93323909627,4,-518.045860667721
"Spain","F","CETE",9,1122.5920383097,0.976184466186122,0.950973774903247,1146.53652985642,5,-551.296019154848
"Spain","T","CETE",36,1133.08958188673,0.965115753345362,8.45112447113868,1221.68420060961,5,-529.544790943365
"Spain","F","CHFU",11,1240.13938897959,1.03786046575745,0.498918625764463,1271.87207976929,1,-608.069694489794
"Spain","T","CHFU",40,1276.46926538969,1.04986908936272,0.629784001284422,1384.88929225449,1,-597.234632694847
"Spain","F","CHFU",11,1154.7643466225,1.05919777935857,0.689498575949412,1185.66087836454,2,-565.382173311249
"Spain","T","CHFU",38,1196.32941627062,1.05408649679194,0.901243658626619,1296.74314443226,2,-559.164708135312
"Spain","F","CHFU",11,1170.48309264947,1.11524949284576,0.538480700631083,1201.74513488133,3,-573.241546324737
"Spain","T","CHFU",41,1202.86078145107,1.18116186413905,0.677599529568498,1312.27792926257,3,-559.430390725536
"Spain","F","CHFU",11,1094.68209261332,1.06680719678737,0.688453670537297,1125.07328653116,4,-535.34104630666
"Spain","T","CHFU",39,1136.89280956788,1.06348485247108,0.751309282562406,1238.19678929401,4,-528.446404783938
"Spain","F","CHFU",11,1143.72968078085,1.05100886253578,0.648393953140225,1174.7492905249,5,-559.864840390424
"Spain","T","CHFU",36,1172.91292405907,1.07668231923855,0.685188568856295,1268.55672076989,5,-549.456462029537
"Spain","F","CHMI",7,347.392003620609,1.18397793088345,0.227349545332704,357.45677592478,1,-165.696001810304
"Spain","T","CHMI",22,358.994038577522,1.17684042200972,7.43487871459462,387.930258952016,1,-156.497019288761
"Spain","F","CHMI",7,306.572082134939,1.19622189027319,0.71484291066463,315.656035862372,2,-145.286041067469
"Spain","T","CHMI",23,320.701365608327,1.18352184691525,0.758853543174328,347.953226790626,2,-136.350682804163
"Spain","F","CHMI",7,324.109032701714,1.18044745896235,0.527481265812324,333.533463344498,3,-154.054516350857
"Spain","T","CHMI",23,334.676642044122,1.07373322183691,1.20809351489174,362.949933972473,3,-143.338321022061
"Spain","F","CHMI",7,257.779136364554,0.997241377144701,0.947472434886911,265.744994552986,4,-120.889568182277
"Spain","T","CHMI",17,223.282544711617,1.36052696830083,3.21332580149244,241.205725635589,4,-93.6412723558084
"Spain","F","CHMI",7,307.389020839364,1.16117652067431,0.753519426008119,316.472974566798,5,-145.694510419682
"Spain","T","CHMI",23,287.281563084171,1.00967621976491,4.78765694095077,314.53342426647,5,-119.640781542085
"Spain","F","HOMA",8,1265.44196314141,1.18054535929648,0.421424056229591,1293.92503690672,1,-623.720981570704
"Spain","T","HOMA",27,1272.96200123268,1.10780778132306,0.458250109840588,1361.57600850254,1,-608.481000616338
"Spain","F","HOMA",8,1224.99013135964,1.14803801238094,0.518534149757219,1253.31758165096,2,-603.49506567982
"Spain","T","HOMA",29,1236.11966571347,1.12651550470311,0.677817569583678,1330.54450001788,2,-588.059832856737
"Spain","F","HOMA",8,1259.48805306862,1.15797081217347,0.419788345595559,1287.91955076155,3,-620.744026534311
"Spain","T","HOMA",29,1260.28852593659,1.04995961160067,0.524913577136612,1355.06018491302,3,-600.144262968294
"Spain","F","HOMA",8,1213.78203283039,1.21233919485039,0.451496216960177,1242.00421876384,4,-597.891016415194
"Spain","T","HOMA",29,1221.20269464925,1.14040635761688,0.515847319852264,1315.27664776075,4,-580.601347324623
"Spain","F","HOMA",8,1227.43297501751,1.15489108778354,0.49714079516885,1255.81259936799,5,-604.716487508757
"Spain","T","HOMA",28,1242.00335973539,1.0934431935317,0.514392731140058,1333.44881597583,5,-592.001679867697
