"Model","beta","coef","AIC","train.RMSE","predict.RMSE","BIC","fold","focal","likeli"
"Spain","F",9,1000.81724442426,0.97224972689321,1.00626948979651,1023.44404319467,1,"CETE",-490.408622212131
"Spain","T",35,1010.45069966146,0.943210396865436,5.89778573974729,1091.90717523495,1,"CETE",-469.225349830729
"Spain","F",9,1149.07684984724,1.05325752583459,0.978805408642359,1173.14404231988,2,"CETE",-564.538424923619
"Spain","T",35,1160.59618216586,0.94907061223625,1.38515638835279,1247.23807506737,2,"CETE",-544.298091082928
"Spain","F",9,1141.12666776108,1.02915410921764,0.798036347957255,1165.31507383905,3,"CETE",-560.56333388054
"Spain","T",36,1156.51681453467,0.950589916330091,1.17476748155518,1246.01391702315,3,"CETE",-541.258407267337
"Spain","F",9,1206.46591465235,1.04023769918137,0.991441403863625,1231.00938761489,4,"CETE",-593.232957326175
"Spain","T",34,1216.79876835406,0.966736033658959,0.878323680586111,1302.70092372293,4,"CETE",-573.39938417703
"Spain","F",9,1154.27285796545,1.01599788442782,0.9870216289875,1178.34005043809,5,"CETE",-567.136428982724
"Spain","T",35,1161.42589329138,0.966877777019744,0.950919563944931,1248.06778619289,5,"CETE",-544.712946645689
"Spain","F",11,1192.02996432251,1.04688583634403,0.531737010045906,1223.41141052461,1,"CHFU",-584.014982161256
"Spain","T",38,1222.85758085635,1.06955699982391,0.672452462392925,1324.84728101316,1,"CHFU",-572.428790428175
"Spain","F",11,1091.1558882952,1.04966044461491,0.704981142433784,1121.54708221304,2,"CHFU",-533.577944147601
"Spain","T",39,1127.20020178757,1.07504047390439,2.35640434517881,1228.5041815137,2,"CHFU",-523.600100893784
"Spain","F",11,1226.27281944368,1.0811689270734,0.721940947902835,1258.00551023338,3,"CHFU",-601.136409721841
"Spain","T",41,1268.32655628466,1.04992244695783,0.778035601784429,1379.3909740486,3,"CHFU",-592.163278142331
"Spain","F",11,1200.51640730658,1.04645317031277,0.558384285160439,1232.01608106599,4,"CHFU",-588.25820365329
"Spain","T",38,1235.69797107876,1.11717894547902,0.59694598101918,1338.07191079685,4,"CHFU",-578.84898553938
"Spain","F",11,1092.74507355522,1.07617063702727,0.640394943721661,1123.0065364798,5,"CHFU",-534.372536777608
"Spain","T",36,1125.95206333733,1.09672013398254,1.00217743274658,1219.25824068815,5,"CHFU",-525.976031668667
"Spain","F",7,346.683559421841,1.20068027577871,0.615672009480515,356.748331726013,1,"CHMI",-165.341779710921
"Spain","T",23,362.931942668731,1.19157476313165,101.001238545925,393.126259581246,1,"CHMI",-157.465971334365
"Spain","F",7,304.433144015914,1.21047962248981,1.17903528545756,313.517097743347,2,"CHMI",-144.216572007957
"Spain","T",22,275.030047041398,0.960958226853458,265.928288867152,301.146414007769,2,"CHMI",-114.515023520699
"Spain","F",7,287.340059173955,1.06282025907191,0.71380553274629,296.068398800822,3,"CHMI",-135.670029586978
"Spain","T",21,287.234800488213,1.03584302894434,1.55841131459675,311.237734462096,3,"CHMI",-121.617400244106
"Spain","F",7,337.692739665745,1.14295581937387,0.49377197714746,347.443746264691,4,"CHMI",-160.846369832872
"Spain","T",22,344.846912255014,1.18358105979161,2.25136849396282,372.881056226982,4,"CHMI",-149.423456127507
"Spain","F",7,271.173461519879,1.21644499853841,0.71515840408085,279.139319708311,5,"CHMI",-127.58673075994
"Spain","T",22,285.389140495165,1.20202682742755,7.37955884682372,308.290982786907,5,"CHMI",-119.694570247582
"Spain","F",8,1220.34586179171,1.18344807527244,0.455032066686803,1248.56804772516,1,"HOMA",-601.172930895855
"Spain","T",26,1233.59503480941,1.11756200807698,0.514728345270299,1318.26159260977,1,"HOMA",-589.797517404705
"Spain","F",8,1276.60944348086,1.15118983209067,0.484134161530683,1305.29591573342,2,"HOMA",-629.304721740428
"Spain","T",29,1286.56130297596,1.07359445386742,0.500807645931924,1382.18287715118,2,"HOMA",-613.280651487979
"Spain","F",8,1225.59727348424,1.11731370373342,0.524005317979288,1253.97689783472,3,"HOMA",-603.798636742119
"Spain","T",28,1235.73127459607,1.04833052206037,0.536162859254277,1327.17673083651,3,"HOMA",-588.865637298036
"Spain","F",8,1216.96737257269,1.18845942168433,0.400491262649924,1245.02931688444,4,"HOMA",-599.483686286343
"Spain","T",29,1224.9024684325,1.11847172345861,0.556724354673461,1318.442282805,4,"HOMA",-582.45123421625
"Spain","F",8,1251.44040953615,1.20591212790221,0.450663276049081,1279.92348330146,5,"HOMA",-616.720204768075
"Spain","T",29,1251.88458316503,1.1117968980783,0.577211412551441,1346.82816238274,5,"HOMA",-595.942291582517
"Spain","F",11,1703.61619859945,1.03845549878675,0.607334008676008,1740.74120100913,1,"LEMA",-839.808099299727
"Spain","T",50,1749.64400787388,1.05570854150604,1.7711926407353,1907.42526811502,1,"LEMA",-823.822003936938
"Spain","F",11,1774.92246377876,1.04271978537902,0.477271904956994,1812.48124835784,2,"LEMA",-875.461231889382
"Spain","T",50,1814.05415673512,1.05157257209106,0.615338310402616,1973.6789911962,2,"LEMA",-856.027078367559
"Spain","F",11,1682.98819089551,1.03338517742927,0.500588036571699,1719.89027667832,3,"LEMA",-829.494095447755
"Spain","T",47,1700.11376342877,1.06124089727445,1.11739880930835,1847.72210655999,3,"LEMA",-802.056881714383
"Spain","F",11,1800.21284906445,1.02009090465669,0.610507249682223,1838.05234819842,4,"LEMA",-888.106424532225
"Spain","T",47,1834.22565438252,1.05689143383638,0.6352141720624,1985.58365091842,4,"LEMA",-869.112827191262
"Spain","F",11,1723.02343404192,1.02105904563221,0.513040801722448,1760.1484364516,5,"LEMA",-849.511717020962
"Spain","T",52,1753.07415822337,1.04471044882868,1.40206514675927,1917.04291886613,5,"LEMA",-823.537079111685
"Spain","F",8,728.494930351666,1.0159099567356,0.774201374334294,746.056123818899,1,"LYTR",-355.247465175833
"Spain","T",25,721.439955284822,1.12514011222099,5.07535460377891,772.172291967939,1,"LYTR",-334.719977642411
"Spain","F",8,659.915425202267,1.02811393365266,0.880229311796995,676.566753617658,2,"LYTR",-320.957712601134
"Spain","T",25,649.871712614927,1.11045831919607,3.02764270791706,697.975550259388,2,"LYTR",-298.935856307463
"Spain","F",8,639.216028148785,1.04964220946082,0.796156932751003,655.673800717187,3,"LYTR",-310.608014074392
"Spain","T",25,627.165299225328,1.08703520189138,0.820567898827486,674.709975534044,3,"LYTR",-287.582649612664
"Spain","F",8,678.078721245081,0.946248093465325,0.754556627635378,695.286928293934,4,"LYTR",-330.03936062254
"Spain","T",24,672.456017452583,1.04401596145483,3.2460370831495,720.256592588287,4,"LYTR",-311.228008726292
"Spain","F",8,560.775678663653,1.08783899180725,0.84013823475758,576.197827263991,5,"LYTR",-271.387839331826
"Spain","T",24,561.584776214655,1.15135798607233,4.08978864802013,604.424077882263,5,"LYTR",-255.792388107328
"Spain","F",7,1230.24534404112,0.991678211812722,0.380825121222344,1254.896578961,1,"PAIN",-607.122672020561
"Spain","T",21,1239.93050351526,0.98691759794018,0.389699626953434,1307.72139954491,1,"PAIN",-597.965251757628
"Spain","F",7,1197.17353691333,0.986730213455626,0.510429671275713,1221.72477053109,2,"PAIN",-590.586768456666
"Spain","T",21,1208.93516529606,0.990801664842635,0.634282487756319,1276.45105774491,2,"PAIN",-582.467582648032
"Spain","F",7,1267.86479068507,1.00065562564118,0.493521835533948,1292.8087411844,3,"PAIN",-625.932395342533
"Spain","T",21,1274.50088274473,1.00235944645852,0.478575073459568,1343.0967466179,3,"PAIN",-615.250441372364
"Spain","F",7,1149.91310040533,1.00418745239044,0.459265667837971,1174.1041445721,4,"PAIN",-566.956550202665
"Spain","T",22,1155.09255395853,1.00345831581453,0.666976938314681,1224.641805938,4,"PAIN",-554.546276979267
"Spain","F",7,1111.32301385368,1.00766409568568,0.622365484103061,1135.35458430125,5,"PAIN",-547.661506926842
"Spain","T",22,1117.18860278498,1.0080010624689,0.622268235580917,1186.27936782172,5,"PAIN",-535.594301392488
"Spain","F",6,565.447754542332,1.0599472185328,0.305403221975252,581.286513681621,1,"PLCO",-275.723877271166
"Spain","T",16,572.124039740553,1.02138290093525,0.306547163653178,610.589597650256,1,"PLCO",-269.062019870277
"Spain","F",6,538.504177291949,1.03317576504655,0.405475958094072,554.14292282413,2,"PLCO",-262.252088645975
"Spain","T",16,546.817962143408,1.0183037272005,0.479812131061432,584.797772721561,2,"PLCO",-256.408981071704
"Spain","F",6,518.609051022247,1.0820703739475,0.342782497450333,533.936634216432,3,"PLCO",-252.304525511124
"Spain","T",16,526.058452064088,1.03583102554568,0.558382844417354,563.282582678537,3,"PLCO",-246.029226032044
"Spain","F",6,574.980915671646,1.07259001969797,0.402556348368004,591.014131759685,4,"PLCO",-280.490457835823
"Spain","T",16,580.336080154763,1.0343844145219,0.450324628188554,619.273890654286,4,"PLCO",-273.168040077382
"Spain","F",6,612.204221183238,1.07387762984485,0.284098583226209,628.610859136214,5,"PLCO",-299.102110591619
"Spain","T",16,618.048533669453,1.0501149123508,0.303590453283847,657.893225840966,5,"PLCO",-292.024266834727
"Spain","F",6,1878.32464177619,1.22578385286176,0.475828136809028,1900.59712662823,1,"POMA",-932.162320888094
"Spain","T",16,1841.70479744365,1.08042701955855,0.570672824393546,1895.79511779861,1,"POMA",-903.852398721823
"Spain","F",6,1805.87577412624,1.28680163924674,0.55139694717937,1828.02927594371,2,"POMA",-895.937887063122
"Spain","T",16,1799.35984057885,1.13751622050417,0.54740748890896,1853.16120213555,2,"POMA",-882.679920289427
"Spain","F",6,1805.50771689383,1.2268728092191,0.526611468658693,1827.62110398833,3,"POMA",-895.753858446914
"Spain","T",16,1798.51019099877,1.12649120940161,0.477641839722504,1852.21413108542,3,"POMA",-882.255095499384
"Spain","F",6,1870.50248262989,1.21135530937969,0.486818530603919,1892.73553075791,4,"POMA",-928.251241314945
"Spain","T",15,1841.12090000296,1.08155997569439,0.547530491460748,1891.93929572414,4,"POMA",-904.560450001478
"Spain","F",6,1849.46599085005,1.26495453616473,0.434501925432538,1871.65937881532,5,"POMA",-917.732995425026
"Spain","T",16,1819.37876748405,1.10106926457723,0.465922179139294,1873.2769953997,5,"POMA",-892.689383742025
"Spain","F",9,2387.21407758557,1.189480627876,0.77625520091134,2418.33395546914,1,"PUPA",-1183.60703879278
"Spain","T",37,2414.879678784,1.18698650830703,1.22801045226852,2533.13521474155,1,"PUPA",-1169.439839392
"Spain","F",9,2408.83472472671,1.10675863353818,0.924501363330753,2440.01466285088,2,"PUPA",-1194.41736236336
"Spain","T",39,2435.27315855048,1.08316613565213,1.10021271875226,2559.99291104715,2,"PUPA",-1177.63657927524
"Spain","F",9,2322.06195322342,1.19353327898044,0.792227567621244,2352.93791657574,3,"PUPA",-1151.03097661171
"Spain","T",39,2343.72954697345,1.15294007636821,0.878498673596644,2467.23340038275,3,"PUPA",-1131.86477348673
"Spain","F",9,2298.0033927843,1.15169964724591,0.679234327153406,2328.6924348065,4,"PUPA",-1139.00169639215
"Spain","T",38,2325.0556919248,1.13556160046752,0.926090505200682,2444.74295581139,4,"PUPA",-1123.5278459624
"Spain","F",9,2389.70731105335,1.13095919432994,0.880642396657224,2420.82718893692,5,"PUPA",-1184.85365552668
"Spain","T",39,2413.70277897663,1.16478643254557,1.21929190081313,2538.18229051089,5,"PUPA",-1166.85138948831
"Spain","F",5,816.777052257216,1.45752395248033,2.14265060886097,835.731384052503,1,"SASO",-402.388526128608
"Spain","T",14,716.137667174015,1.12610256128188,2.11808278971675,763.523496662233,1,"SASO",-343.068833587007
"Spain","F",5,887.994824355079,1.51225988120419,1.193742136297,907.051722750522,2,"SASO",-437.997412177539
"Spain","T",13,770.649792190087,1.01455774192866,1.96252299847014,815.115888446121,2,"SASO",-371.324896095044
"Spain","F",5,789.224910338919,1.52873112014048,4.19528748061249,807.968694215338,3,"SASO",-388.612455169459
"Spain","T",14,686.431551987769,0.957387305329497,4.481976526676,733.291011678818,3,"SASO",-328.215775993885
"Spain","F",5,854.928072874363,1.42978851778056,4.58714964731005,873.778054213379,4,"SASO",-421.464036437182
"Spain","T",14,749.024845186925,0.980579738732752,4.38169685033037,796.149798534465,4,"SASO",-359.512422593463
"Spain","F",5,808.082160166432,1.48488414309743,2.60107874426197,827.036491961719,5,"SASO",-398.041080083216
"Spain","T",14,696.848326050325,0.989259110666204,2.15769344865117,744.234155538543,5,"SASO",-333.424163025162
"Spain","F",9,243.511915189258,1.03936424045167,0.507070497272423,256.83396029101,1,"SCLA",-111.755957594629
"Spain","T",23,261.114642333674,0.988501028496708,1.21459629334302,293.087550577879,1,"SCLA",-106.557321166837
"Spain","F",9,226.283814945959,0.991723561565732,0.355555473994846,238.472573194641,2,"SCLA",-103.14190747298
"Spain","T",21,239.760320628825,0.944737458831519,0.394475522341249,266.575588775925,2,"SCLA",-97.8801603144125
"Spain","F",8,198.092284179986,1.01322285574538,0.370749674356697,207.911666260211,3,"SCLA",-90.0461420899929
"Spain","T",22,216.819417312507,0.992941687118782,0.419657213266944,241.913393739748,3,"SCLA",-85.4097086562533
"Spain","F",9,220.800183293638,1.03963980521771,0.579023201775198,233.381148673853,4,"SCLA",-100.400091646819
"Spain","T",20,230.960127227302,0.920538263897128,1.29439398007744,257.380154525753,4,"SCLA",-94.4800636136509
"Spain","F",9,229.493955059171,1.01737171921994,0.562082498148388,242.452323719214,5,"SCLA",-104.746977529585
"Spain","T",23,247.831015602816,0.936053582812904,0.576299523718272,278.93110038692,5,"SCLA",-99.915507801408
"Australia","F",16,831.6221407895,1.13536555894318,1.04198558315886,871.902754281439,1,"Aira.caryophylla",-398.81107039475
"Australia","T",70,877.457732888578,1.00963434728898,1.66162308288439,1045.68853041374,1,"Aira.caryophylla",-367.728866444289
"Australia","F",16,814.260365696146,1.12336093707807,1.02730474520579,853.882832481014,2,"Aira.caryophylla",-390.130182848073
"Australia","T",68,853.137641349515,0.993491084151,56.7813345816467,1013.95824182927,2,"Aira.caryophylla",-357.568820674757
"Australia","F",16,760.588481871328,1.17266582583546,0.753657179866053,799.291805894601,3,"Aira.caryophylla",-363.294240935664
"Australia","T",72,807.189531126116,0.976089218514847,2.85089441913509,973.386157814288,3,"Aira.caryophylla",-330.594765563058
"Australia","F",16,748.644239906642,1.08782586197471,0.844710006715862,786.868659021481,4,"Aira.caryophylla",-357.322119953321
"Australia","T",68,779.642651965596,0.978990273085745,19.3219128529345,934.788823667002,4,"Aira.caryophylla",-320.821325982798
"Australia","F",16,811.782579984903,1.16221472218113,0.714310190246443,851.17987791502,5,"Aira.caryophylla",-388.891289992451
"Australia","T",65,858.853283606377,1.01057400592945,4.64370452312467,1011.80749909977,5,"Aira.caryophylla",-363.426641803188
"Australia","F",20,1805.9188019941,1.01125371724432,1.11390096574495,1866.92957234131,1,"Hypochaeris.glabra",-881.959400997052
"Australia","T",103,1832.64430127606,0.894707415654441,146.246696914775,2134.79287823365,1,"Hypochaeris.glabra",-812.322150638028
"Australia","F",20,1781.72211954565,0.996402461242801,1.39173355965951,1842.73288989285,2,"Hypochaeris.glabra",-869.861059772824
"Australia","T",102,1831.66704187943,0.876554062279601,601.624585725152,2130.91034405859,2,"Hypochaeris.glabra",-812.833520939715
"Australia","F",20,1804.94503571149,0.99953278499219,1.01657352128214,1865.95580605869,3,"Hypochaeris.glabra",-881.472517855743
"Australia","T",108,1863.27869000146,0.884332913522851,49.5497557205476,2179.95364085125,3,"Hypochaeris.glabra",-822.639345000731
"Australia","F",20,1805.08793366512,1.00087184313919,1.34123239619068,1866.09870401232,4,"Hypochaeris.glabra",-881.543966832559
"Australia","T",105,1863.55980305459,0.85123666938255,105.300024794725,2171.51892956906,4,"Hypochaeris.glabra",-825.779901527294
"Australia","F",20,1839.50550582788,0.994115077728668,1.86171041319162,1900.67125842834,5,"Hypochaeris.glabra",-898.752752913941
"Australia","T",106,1887.05551717961,0.863768693774001,390.656763851486,2198.70958995337,5,"Hypochaeris.glabra",-836.527758589804
"Australia","F",14,708.232872159869,0.976341636460997,1.081068984758,737.50152793859,1,"Podotheca.gnaphalioides",-339.116436079934
"Australia","T",51,726.791684272444,0.814012580649096,15.1567236958757,828.256357638678,1,"Podotheca.gnaphalioides",-311.395842136222
"Australia","F",14,688.046502973061,0.873090756993788,1.30445571864924,716.726848054483,2,"Podotheca.gnaphalioides",-329.023251486531
"Australia","T",47,696.446568160787,0.728604627739107,7.43498110677479,788.223672421338,2,"Podotheca.gnaphalioides",-300.223284080393
"Australia","F",14,723.886541410895,0.977938312740925,2.09179927624458,753.721302109359,3,"Podotheca.gnaphalioides",-346.943270705448
