"Model","beta","focal","coef","AIC","RMSE","likeli"
"Australia","F","Aira.caryophylla",17,986.817410828996,1.15787996519609,-475.408705414498
"Australia","T","Aira.caryophylla",84,1034.16717490354,1.00904971822473,-432.083587451769
"Australia","F","Hypochaeris.glabra",21,2255.51073339275,1.02235905414683,-1105.75536669638
"Australia","T","Hypochaeris.glabra",128,2310.23522992252,0.930527823167564,-1026.11761496126
"Australia","F","Podotheca.gnaphalioides",15,861.355543515802,0.965424824730262,-414.677771757901
"Australia","T","Podotheca.gnaphalioides",61,879.274892001204,0.77331741333461,-377.637446000602
"Australia","F","Trachymene.ornata",19,1895.32921930801,1.02236432315948,-927.664609654003
"Australia","T","Trachymene.ornata",99,1926.08555460183,1.0027184573241,-863.042777300913
"Australia","F","Ursinia.anthemoides",16,913.863216641608,1.03581516656579,-439.931608320804
"Australia","T","Ursinia.anthemoides",66,937.953744982941,0.868735833548575,-401.97687249147
"Australia","F","Waitzia.acuminata",20,2874.17182112441,1.14604617107599,-1416.0859105622
"Australia","T","Waitzia.acuminata",108,2945.27044938586,1.13004918429669,-1363.63522469293
"Spain","F","CETE",10,1412.56997738665,1.03114807449935,-695.284988693323
"Spain","T","CETE",42,1429.75052780605,0.956788062388541,-671.875263903027
"Spain","F","CHFU",12,1450.48441975152,1.06837517832221,-712.242209875759
"Spain","T","CHFU",47,1498.43494074232,1.08980035313025,-701.217470371161
"Spain","F","CHMI",8,386.746550428546,1.1698836787853,-184.373275214273
"Spain","T","CHMI",27,402.634875341279,1.10581046352934,-173.31743767064
"Spain","F","HOMA",9,1546.32155907746,1.18294680379293,-763.160779538729
"Spain","T","HOMA",37,1563.4188320447,1.10964413486393,-743.709416022351
"Spain","F","LEMA",12,2170.03890824527,1.02874746023068,-1072.01945412263
"Spain","T","LEMA",61,2205.22756667635,1.04933697171501,-1040.61378333817
"Spain","F","LYTR",9,816.78289842148,1.02312121231926,-398.39144921074
"Spain","T","LYTR",30,810.600603072925,1.14943485584186,-374.300301536462
"Spain","F","PAIN",8,1489.05112403265,1.00212889238045,-735.525562016325
"Spain","T","PAIN",29,1498.40890456868,0.996812070730182,-719.20445228434
"Spain","F","PLCO",7,702.497632022748,1.06770040734093,-343.248816011374
"Spain","T","PLCO",22,712.990960268478,1.02920909732308,-333.495480134239
"Spain","F","POMA",7,2271.68965734951,1.1157280923148,-1127.84482867475
"Spain","T","POMA",22,2238.97748431988,1.11033104421275,-1096.48874215994
"Spain","F","PUPA",10,2946.35469673232,1.16692882250937,-1462.17734836616
"Spain","T","PUPA",46,2973.82203917222,1.16583579136971,-1439.91101958611
"Spain","F","SASO",6,1024.29876646027,1.74716389800143,-505.149383230135
"Spain","T","SASO",17,897.976241068074,1.15756760656418,-430.988120534037
"Spain","F","SCLA",10,279.071902937315,1.01590730488036,-128.535951468658
"Spain","T","SCLA",26,298.445032236073,0.955808309891768,-122.222516118036
