"Model","beta","coef","AIC","train.RMSE","predict.RMSE","BIC","fold","likeli"
"Spain","F",105,13797.5454791281,1.3989452076754,0.673133130909657,14349.9704928594,1,-6792.77273956406
"Spain","T",382,13577.7296222276,1.15929728918991,1.15037325439788,15573.7558510868,1,-6405.86481111382
"Spain","F",102,13604.0257790903,1.26077784127389,0.698176208629965,14140.8161226216,2,-6699.01288954516
"Spain","T",374,13408.4320866248,1.11003218936512,6.22842842089791,15362.7658616175,2,-6329.21604331241
"Spain","F",103,13527.8395794524,1.44776421199558,0.831472565630021,14069.9182041765,3,-6659.91978972622
"Spain","T",373,13356.9950053355,1.16510065259042,2.53823787402769,15306.3931365547,3,-6304.49750266777
"Spain","F",101,13745.8051914095,1.40723325419822,0.599247703419235,14277.3839782075,4,-6770.90259570475
"Spain","T",370,13507.8742531142,1.14372746907552,0.826090757116192,15441.3618011736,4,-6382.93712655711
"Spain","F",101,13703.3861130439,1.40591133796247,0.803201414635861,14234.9648998419,5,-6749.69305652193
"Spain","T",370,13531.0088223052,1.16052450605343,8.81184049417223,15464.4963703646,5,-6394.5044111526
"Australia","F",96,7889.58613366377,1.02438231365818,1.10464905123794,8319.26892303356,1,-3847.79306683188
"Australia","T",430,8063.56778409853,0.940032024054478,22.7329809298714,9972.7768791334,1,-3600.78389204926
"Australia","F",95,7885.63234434346,1.07186931052372,1.0970159093682,8310.5752362594,2,-3846.81617217173
"Australia","T",424,8053.23111909343,0.995679919648917,29.4472935669148,9934.48871351294,2,-3601.61555954671
"Australia","F",96,7852.14994867824,1.01587432850934,1.11380377405262,8281.51932905163,3,-3829.07497433912
"Australia","T",433,7993.49300152242,0.954043850611688,84.5367627973743,9914.58899205906,3,-3562.74650076121
"Australia","F",95,7815.67441862334,1.08260682632315,1.14728983123602,8240.61731053928,4,-3811.83720931167
"Australia","T",425,8020.9672484667,1.05623529618741,148.767233360796,9906.65133134368,4,-3584.48362423335
"Australia","F",95,7812.79234281313,1.07836362788549,1.11338577596713,8237.73523472907,5,-3810.39617140656
"Australia","T",425,7940.1888227041,1.0096891218137,11.6700921894927,9825.87290558108,5,-3544.09441135205
