"Model","beta","coef","AIC","train.RMSE","predict.RMSE","BIC","fold","likeli"
"Spain","F",92,13658.545541479,1.51515842137577,0.681682258771117,14143.2889270496,1,-6736.27277073952
"Spain","T",306,13391.0596371686,1.15097163703047,9.67406292511512,14991.2340389982,1,-6388.52981858432
"Spain","F",86,13746.2034620222,1.49041403046965,0.751417854175673,14199.6088978205,2,-6786.10173101109
"Spain","T",290,13558.5441737325,1.15621633888001,0.835047809640486,15075.1071831268,2,-6488.27208686625
"Spain","F",91,13582.3781549207,1.39841670209243,0.65975125432587,14061.8413743856,3,-6699.18907746037
"Spain","T",305,13349.5954495447,1.12603364051328,0.863478274507956,14944.3318099387,3,-6368.79772477234
"Spain","F",93,13821.3558767054,1.45810159375611,0.753959972885726,14311.2422096369,4,-6816.6779383527
"Spain","T",306,13624.3346045769,1.14125901580642,0.795643635751503,15224.2825217042,4,-6505.16730228843
"Spain","F",91,13793.1107475646,1.44021748033537,0.748938917636544,14272.5739670295,5,-6804.55537378232
"Spain","T",300,13471.2029390944,1.0836805586861,2.6575685778543,15039.8815158219,5,-6434.60146954721
"Australia","F",89,7887.84596623517,1.04922500527286,1.07438509279637,8286.37544077678,1,-3853.92298311759
"Australia","T",355,8089.64265866286,0.993167884865419,15.424462937134,9666.04813573858,1,-3688.82132933143
"Australia","F",88,7859.96578222358,1.00246374436847,1.20904377292836,8253.92325493731,2,-3840.98289111179
"Australia","T",349,7986.80907663111,0.93216117908301,18.4565681814441,9536.08003674131,2,-3643.40453831556
"Australia","F",90,7820.40190682436,1.104681819368,1.38662070496237,8223.21235645301,3,-3819.20095341218
"Australia","T",348,7974.06228689569,1.03925819313212,7.32304121324256,9518.90675854842,3,-3638.03114344784
"Australia","F",90,7854.95856283267,1.0487195884989,1.00777601765515,8257.76901246133,4,-3836.47928141634
"Australia","T",361,8032.97948764717,0.986869681768834,128.23209301326,9635.36830924685,4,-3654.48974382358
"Australia","F",90,7816.60317622761,1.07941639667927,1.19227225715455,8219.56075604191,5,-3817.30158811381
"Australia","T",361,7958.22010022064,0.992663950627519,3.21719886292799,9561.19420893247,5,-3617.11005011032
