order,date,plot,subplot,focal,fruit,seed,BEMA,CETE,CHFU,CHMI,FRPU,HOMA,LEMA,LYTR,MEEL,MESU,PAIN,PLCO,POMA,POMO,PUPA,SASO,SCLA,SPRU
363,7/05/2017,1,A1,BEMA,12,48,,,,,,16,,,,,,,,,,,,
366,7/05/2017,2,A6,BEMA,12,48,,,,,,15,,,,,,,,,,,,
369,7/05/2017,3,A6,BEMA,18,72,,,,,,6,,,,,,1,,,,,,
364,7/05/2017,1,B1,BEMA,21,84,1,,,,,22,1,,,,,,,,,,,
367,7/05/2017,2,B2,BEMA,6,24,,,,,,16,,,,,,,,,,,,
370,7/05/2017,3,B2,BEMA,12,48,,,,,,3,,,,,,,1,,,,,
371,7/05/2017,3,B4,BEMA,23,92,,,,,,11,1,,,,,,,,,,,
372,7/05/2017,3,B5,BEMA,12,48,,,,,,,,,,,,,,,,,,
379,8/05/2017,5,B5,BEMA,350,1400,,,,,,6,,,,,,,,,,,,
373,7/05/2017,3,B6,BEMA,14,56,,,,,,11,,,,,,,1,,,,,
365,7/05/2017,1,C4,BEMA,14,56,,,,,,,,,,,,,,,,,,
374,7/05/2017,3,D1,BEMA,25,100,,,,,,16,,,,,,,,,,,,
375,7/05/2017,3,D2,BEMA,60,240,,,,,,9,1,,,,,,1,,,,,
368,7/05/2017,2,D4,BEMA,6,24,,,,,,10,,,,,2,,,,,,,
376,7/05/2017,3,D4,BEMA,12,48,,,,,,3,,,,,,,2,,,,,
377,7/05/2017,3,E1,BEMA,14,56,,,,,,6,1,,,,,,1,,,,,
378,7/05/2017,3,E5,BEMA,40,160,,,,,,7,,,,,,,3,,,,,
380,8/05/2017,5,F6,BEMA,40,160,,,,,,7,1,,,,,,,,,,,
1196,29/05/2017,1,A1,CETE,14,336,,,,,,22,,,,,3,,,,1,,,
1221,29/05/2017,2,A1,CETE,30,720,,,,,,16,,,,,1,,,,,,,
1255,30/05/2017,3,A1,CETE,7,168,,4,,,,7,,,,,,,,,,3,,
1197,29/05/2017,1,A2,CETE,19,456,,,,,,19,,,,,,,,,,,,
1222,29/05/2017,2,A2,CETE,15,360,,3,,,,19,,,,,,,,,2,,,
1256,30/05/2017,3,A2,CETE,6,144,,1,,,,4,,,,,,2,,,,,,
1198,29/05/2017,1,A3,CETE,10,240,,1,,,,14,,,,,2,,,,,2,,
1223,29/05/2017,2,A3,CETE,20,480,,,,,,16,,,,,,,,,,4,,
1257,30/05/2017,3,A3,CETE,19,456,,2,,,,9,,,,,,,,,,4,,
1199,29/05/2017,1,A4,CETE,11,264,,,,,,23,,,,,4,,,,,,,
1224,29/05/2017,2,A4,CETE,12,288,,1,,,,24,,,,,,,,,1,,,
1258,30/05/2017,3,A4,CETE,4,96,,1,,,,,1,,,,,,,,,,,
1200,29/05/2017,1,A5,CETE,20,480,,6,,,,11,,,,,4,,,,,,,
1225,29/05/2017,2,A5,CETE,19,456,,1,,,,20,,,,,1,,,,3,2,,
1259,30/05/2017,3,A5,CETE,15,360,,,,,,15,,,,,,,3,,,,,
1201,29/05/2017,1,A6,CETE,12,288,,,,,,20,,,,,3,,,,,,,
1260,30/05/2017,3,A6,CETE,16,384,,,,,,11,,,,,,,,,,4,,
1226,29/05/2017,2,B1,CETE,26,624,,1,,,,24,,,,,,,2,,,,,
1202,29/05/2017,1,B2,CETE,24,576,,,,,,19,,,,,2,,,3,,,,
1227,29/05/2017,2,B2,CETE,21,504,,,,,,21,,,,,2,,,,,,,
1261,30/05/2017,3,B2,CETE,5,120,,,,,,7,,,,,,1,,,,,,
1203,29/05/2017,1,B3,CETE,14,336,,,,,,17,,,,,2,,,,,2,,
1228,29/05/2017,2,B3,CETE,14,336,,,,,,23,,,,,2,,,,,,,
1262,30/05/2017,3,B3,CETE,3,72,,,,,,3,,,,,,,,,,1,,
1229,29/05/2017,2,B4,CETE,15,360,,2,,,,21,,,,,2,,,,,,,
1263,30/05/2017,3,B4,CETE,15,360,,,,,,15,,,,,,,,,,,,
1282,30/05/2017,5,B4,CETE,5,120,,,,,,9,,,,,,,,,,,,
1204,29/05/2017,1,B5,CETE,9,216,,,,,,16,,,,,,,,1,1,1,,
1230,29/05/2017,2,B5,CETE,17,408,,1,,,,15,,,,,2,,,,,,,
1264,30/05/2017,3,B5,CETE,12,288,,,,,,11,,,,,,,4,,,,,
1283,30/05/2017,5,B5,CETE,3,72,,,,,,4,,,,,,,,,,,,
1205,29/05/2017,1,B6,CETE,11,264,,3,,,,17,,,,,,,,,1,,,
1265,30/05/2017,3,B6,CETE,5,120,,,,,,12,,,,,,,,,,2,,
1284,30/05/2017,5,B6,CETE,7,168,,1,,,,7,,,,,,,8,,,,,
1231,29/05/2017,2,C1,CETE,20,480,,3,,,,19,,,,,,,,,,,,
1266,30/05/2017,3,C1,CETE,30,720,,,,,,3,,,,,,,2,,,,,
1232,29/05/2017,2,C2,CETE,40,960,,1,,,,18,,,,,,,,,3,,,
1267,30/05/2017,3,C2,CETE,7,168,,5,,,,4,,,,,,2,,,,,,
1285,30/05/2017,5,C2,CETE,2,48,,,,,,14,,,,,,,,,,,,
1233,29/05/2017,2,C3,CETE,50,1200,,2,,,,22,,,,,,,,,,,,
1268,30/05/2017,3,C3,CETE,6,144,,,,,,3,,,,,,8,,,,,,
1286,30/05/2017,5,C3,CETE,2,48,,,,,,19,,,,,,,3,,,,,
1234,29/05/2017,2,C4,CETE,32,768,,1,,,,19,,,,,,,,,,,,
1269,30/05/2017,3,C4,CETE,9,216,,2,,,,3,,,,,,7,,,,,,
1287,30/05/2017,5,C4,CETE,5,120,,,,,,7,,,,,,,2,,,,,
1235,29/05/2017,2,C5,CETE,35,840,,,,,,9,,,,,,,,,3,,,
1270,30/05/2017,3,C5,CETE,50,1200,,3,,,,,,,,,,3,,,,,,
1288,30/05/2017,5,C5,CETE,8,192,,3,,,,14,,,,,,,,,,,,
1206,29/05/2017,1,C6,CETE,9,216,,2,,,,16,,,,,4,,,,,,,
1236,29/05/2017,2,C6,CETE,20,480,,1,,,,21,,,,,2,,,,,,,
1289,30/05/2017,5,C6,CETE,10,240,,3,,,,11,,,,,,,2,,,,,
1207,29/05/2017,1,D1,CETE,7,168,,,,,,17,,,,,2,,,,,2,,
1237,29/05/2017,2,D1,CETE,40,960,,2,,,,18,,,,,,,,,,,,
1271,30/05/2017,3,D1,CETE,12,288,,,,,,12,,,,,,,,,,2,,
1238,29/05/2017,2,D2,CETE,90,2160,,3,,,,20,,,,,,,,,,,,
1272,30/05/2017,3,D2,CETE,25,600,,,,,,3,,,,,2,,1,,,,,
1290,30/05/2017,5,D2,CETE,2,48,,2,,,,14,,,,,1,,,,,,,
1208,29/05/2017,1,D3,CETE,20,480,,1,,,,22,,,,,3,,,,1,,,
1239,29/05/2017,2,D3,CETE,30,720,,,,,,11,,,,,,2,,,,,,
1273,30/05/2017,3,D3,CETE,6,144,,3,,,,3,,,,,,3,,,,2,,
1240,29/05/2017,2,D4,CETE,19,456,,2,,,,19,,,,1,,,,,,,,
1274,30/05/2017,3,D4,CETE,12,288,1,1,,,,7,,,,,,,1,,,,,
1209,29/05/2017,1,D5,CETE,10,240,,,,,,15,,,,,1,,,,,,,
1241,29/05/2017,2,D5,CETE,25,600,,2,,,,16,,,,,,,2,,,,,
1275,30/05/2017,3,D5,CETE,25,600,,3,,,,6,,,,,,,,,,,,
1242,29/05/2017,2,D6,CETE,18,432,,30,,,,19,,,,,,,,,,,,
1210,29/05/2017,1,E1,CETE,5,120,,1,,,,14,,,,,3,,,,,,,
1243,29/05/2017,2,E1,CETE,55,1320,,2,,,,7,,,,,,2,,,,,,
1276,30/05/2017,3,E1,CETE,8,192,,1,,,,15,,,,,4,,,,2,,,
1211,29/05/2017,1,E2,CETE,6,144,,3,,,,16,,,,,4,,,,,,,
1244,29/05/2017,2,E2,CETE,20,480,,,,,,15,,,,,1,,,,,,,
